Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,15717204,37558,616,2859,,15287,18796,508511,143102,311956,53453,239,3.9,18.2,,97.3,119.6,3235.4,910.5,1984.8,340.1
1961,16397000,38154,605,3033,,14832,19684,521008,146615,319834,54559,232.7,3.7,18.5,,90.5,120,3177.5,894.2,1950.6,332.7
1962,16970000,39846,657,2946,,15598,20645,564451,158523,348373,57555,234.8,3.9,17.4,,91.9,121.7,3326.2,934.1,2052.9,339.2
1963,17590000,42419,673,3080,,16458,22208,623709,175703,384289,63717,241.2,3.8,17.5,,93.6,126.3,3545.8,998.9,2184.7,362.2
1964,18084000,48026,740,3621,,18667,24998,700630,196883,427960,75787,265.6,4.1,20,,103.2,138.2,3874.3,1088.7,2366.5,419.1
1965,18602000,52490,880,3948,,21081,26581,750997,225007,444217,81773,282.2,4.7,21.2,,113.3,142.9,4037.2,1209.6,2388,439.6
1966,18918000,57718,868,4432,,22317,30101,802944,241666,474122,87156,305.1,4.6,23.4,,118,159.1,4244.3,1277.4,2506.2,460.7
1967,19153000,67446,1039,4792,,28539,33076,900757,276958,526477,97322,352.1,5.4,25,,149,172.7,4703,1446,2748.8,508.1
1968,19221000,81293,1150,5744,,36991,37408,1018363,316081,582838,119444,422.9,6,29.9,,192.5,194.6,5298.2,1644.5,3032.3,621.4
1969,19443000,89878,1386,7053,,39240,42199,1096083,325891,638249,131943,462.3,7.1,36.3,,201.8,217,5637.4,1676.1,3282.7,678.6
1970,19953134,94741,1376,7005,,41277,45083,1170113,349788,682811,137514,474.8,6.9,35.1,,206.9,225.9,5864.3,1753,3422.1,689.2
1971,20223000,104872,1642,7300,,47626,48304,1248069,392277,711417,144375,518.6,8.1,36.1,,235.5,238.9,6171.5,1939.8,3517.9,713.9
1972,20468000,110667,1791,8127,,48829,51920,1201968,398960,663568,139440,540.7,8.8,39.7,,238.6,253.7,5872.4,1949.2,3242,681.3
1973,20601000,116563,1862,8357,,49531,56813,1182309,407824,643488,130997,565.8,9,40.6,,240.4,275.8,5739.1,1979.6,3123.6,635.9
1974,20907000,127658,1985,8494,,52822,64357,1303810,433194,737067,133549,610.6,9.5,40.6,,252.7,307.8,6236.2,2072,3525.5,638.8
1975,21185000,138842,2209,8807,,59827,67999,1387451,469726,784639,133086,655.4,10.4,41.6,,282.4,321,6549.2,2217.3,3703.7,628.2
1976,21520000,144041,2220,9614,,59318,72889,1412716,467980,806086,138650,669.3,10.3,44.7,,275.6,338.7,6564.7,2174.6,3745.8,644.3
1977,21896000,154582,2515,10825,,62852,78390,1380039,468452,766317,145270,706,11.5,49.4,,287,358,6302.7,2139.4,3499.8,663.5
1978,22294000,165626,2611,11316,,68235,83464,1420857,488966,777783,154108,742.9,11.7,50.8,,306.1,374.4,6373.3,2193.3,3488.8,691.3
1979,22696000,184087,2952,12239,,75767,93129,1511021,496310,847148,167563,811.1,13,53.9,,333.8,410.3,6657.7,2186.8,3732.6,738.3
1980,23532680,210290,3411,13693,,90420,102766,1633042,545138,913070,174834,893.6,14.5,58.2,,384.2,436.7,6939.5,2316.5,3880,742.9
1981,24159000,208485,3143,13566,,93781,97995,1625302,540806,921939,162557,863,13,56.2,,388.2,405.6,6727.5,2238.5,3816.1,672.9
1982,24724000,201429,2779,12529,,91988,94133,1599827,499466,935831,164530,814.7,11.2,50.7,,372.1,380.7,6470.7,2020.2,3785.1,665.5
1983,25174000,194491,2639,12093,,85826,93933,1486487,460460,867123,158904,772.6,10.5,48,,340.9,373.1,5904.9,1829.1,3444.5,631.2
1984,25622000,195589,2717,11702,,83924,97246,1461731,443094,857328,161309,763.4,10.6,45.7,,327.5,379.5,5705,1729.3,3346.1,629.6
1985,26365000,201763,2770,11421,,86387,101185,1516710,448506,890967,177237,765.3,10.5,43.3,,327.7,383.8,5752.7,1701.1,3379.4,672.2
1986,26981000,248370,3038,12119,,92512,140701,1576299,457698,913004,205597,920.5,11.3,44.9,,342.9,521.5,5842.3,1696.4,3383.9,762
1987,27663000,253943,2924,12109,,83341,155569,1545928,419969,896335,229624,918,10.6,43.8,,301.3,562.4,5588.4,1518.2,3240.2,830.1
1988,28168000,261912,2936,11780,,86141,161055,1607180,407631,933636,265913,929.8,10.4,41.8,,305.8,571.8,5705.7,1447.1,3314.5,944
1989,29063000,284136,3158,11966,,96431,172581,1681516,410468,972603,298445,977.7,10.9,41.2,,331.8,593.8,5785.8,1412.3,3346.5,1026.9
1990,29760021,311051,3553,12688,,112208,182602,1654186,400392,951580,302214,1045.2,11.9,42.6,,377,613.6,5558.4,1345.4,3197.5,1015.5
1991,30380000,331122,3859,12896,,124939,189428,1726391,424656,986120,315615,1089.9,12.7,42.4,,411.3,623.5,5682.7,1397.8,3246,1038.9
1992,30867000,345624,3921,12761,,130897,198045,1716137,427491,968534,320112,1119.7,12.7,41.3,,424.1,641.6,5559.8,1384.9,3137.8,1037.1
1993,31211000,336381,4096,11766,,126436,194083,1678884,414182,945407,319295,1077.8,13.1,37.7,,405.1,621.8,5379.1,1327,3029.1,1023
1994,31431000,318395,3703,10984,,112160,191548,1622102,384257,929640,308205,1013,11.8,34.9,,356.8,609.4,5160.8,1222.5,2957.7,980.6
1995,31589000,305154,3531,10554,,104611,186458,1536830,353895,902456,280479,966,11.2,33.4,,331.2,590.3,4865.1,1120.3,2856.9,887.9
1996,31878000,274996,2916,10244,,94222,167614,1385135,312212,830457,242466,862.7,9.1,32.1,,295.6,525.8,4345.1,979.4,2605.1,760.6
1997,32268000,257582,2579,10189,,81468,163346,1312367,299240,784405,228722,798.3,8,31.6,,252.5,506.2,4067.1,927.4,2430.9,708.8
1998,32667000,229883,2171,9782,,68782,149148,1188791,269012,724262,195517,703.7,6.6,29.9,,210.6,456.6,3639.1,823.5,2217.1,598.5
1999,33145121,207879,2005,9363,,60039,136472,1053285,223814,660991,168480,627.2,6,28.2,,181.1,411.7,3177.8,675.3,1994.2,508.3
2000,33871648,210531,2079,9785,,60249,138418,1056183,222293,651855,182035,621.6,6.1,28.9,,177.9,408.7,3118.2,656.3,1924.5,537.4
2001,34600463,212867,2206,9960,,64614,136087,1134189,232273,697739,204177,615.2,6.4,28.8,,186.7,393.3,3278,671.3,2016.6,590.1
2002,35001986,208388,2395,10198,,64968,130827,1176484,238428,715692,222364,595.4,6.8,29.1,,185.6,373.8,3361.2,681.2,2044.7,635.3
2003,35462712,205551,2407,9994,,63770,129380,1215086,242274,731486,241326,579.6,6.8,28.2,,179.8,364.8,3426.4,683.2,2062.7,680.5
2004,35842038,189175,2392,9615,,61768,115400,1227194,245903,728687,252604,527.8,6.7,26.8,,172.3,322,3423.9,686.1,2033.1,704.8
2005,36154147,190178,2503,9392,,63622,114661,1200531,250521,692467,257543,526,6.9,26,,176,317.1,3321,692.9,1915,712
2006,36457549,194483,2486,9235,,71142,111620,1159988,247230,669103,243655,533.5,6.8,25.3,,195.1,306.2,3181.7,678.1,1835.3,668.3
2007,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134,524.1,6.2,24.7,,193.4,299.7,3043.5,650.7,1790.6,602.2
2008,36756666,185329,2142,8903,,69388,104896,1080996,237811,650656,192529,504.2,5.8,24.2,,188.8,285.4,2941,647,1770.2,523.8
2009,36961664,174934,1972,8713,,64093,100156,1009433,230198,615402,163833,473.3,5.3,23.6,,173.4,271,2731,622.8,1665,443.3
2010,37338198,164133,1809,8331,,58116,95877,981939,228857,600558,152524,439.6,4.8,22.3,,155.6,256.8,2629.9,612.9,1608.4,408.5
2011,37683933,154943,1792,7665,,54291,91195,973822,230075,596905,146842,411.2,4.8,20.3,,144.1,242,2584.2,610.5,1584,389.7
2012,37999878,160944,1884,7837,,56521,94702,1049465,245767,635090,168608,423.5,5,20.6,,148.7,249.2,2761.8,646.8,1671.3,443.7
2013,38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292,402.6,4.5,19.4,26.9,139.6,231.7,2651.2,603.8,1617.3,430.1
