Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,6066782,6932,164,442,,2591,3735,83509,25698,45903,11908,114.3,2.7,7.3,,42.7,61.6,1376.5,423.6,756.6,196.3
1961,6244000,6682,153,458,,2371,3700,89375,29329,47145,12901,107,2.5,7.3,,38,59.3,1431.4,469.7,755,206.6
1962,6245000,7874,187,510,,2816,4361,101025,31868,54516,14641,126.1,3,8.2,,45.1,69.8,1617.7,510.3,873,234.4
1963,6470000,8849,181,561,,3367,4740,114018,35993,61199,16826,136.8,2.8,8.7,,52,73.3,1762.3,556.3,945.9,260.1
1964,6682000,10456,207,609,,3812,5828,127138,40143,68072,18923,156.5,3.1,9.1,,57,87.2,1902.7,600.8,1018.7,283.2
1965,6774000,10422,219,605,,3753,5845,128214,42113,66177,19924,153.9,3.2,8.9,,55.4,86.3,1892.7,621.7,976.9,294.1
1966,6898000,11168,240,640,,4397,5891,149454,49176,77374,22904,161.9,3.5,9.3,,63.7,85.4,2166.6,712.9,1121.7,332
1967,7003000,13204,276,677,,5777,6474,178516,60321,88412,29783,188.5,3.9,9.7,,82.5,92.4,2549.1,861.4,1262.5,425.3
1968,7078000,16711,358,801,,8747,6805,213630,71621,105309,36700,236.1,5.1,11.3,,123.6,96.1,3018.2,1011.9,1487.8,518.5
1969,7148000,17226,369,914,,9657,6286,213701,68123,108336,37242,241,5.2,12.8,,135.1,87.9,2989.7,953,1515.6,521
1970,7168164,20583,412,927,,12145,7099,235704,74649,121098,39957,287.1,5.7,12.9,,169.4,99,3288.2,1041.4,1689.4,557.4
1971,7300000,26441,426,1058,,16062,8895,263025,88720,131959,42346,362.2,5.8,14.5,,220,121.8,3603.1,1215.3,1807.7,580.1
1972,7367000,27577,481,1243,,15478,10375,255317,87981,124153,43183,374.3,6.5,16.9,,210.1,140.8,3465.7,1194.3,1685.3,586.2
1973,7361000,28845,546,1383,,15179,11737,271667,91609,137899,42159,391.9,7.4,18.8,,206.2,159.4,3690.6,1244.5,1873.4,572.7
1974,7330000,29568,497,1441,,15879,11751,320196,104774,175349,40073,403.4,6.8,19.7,,216.6,160.3,4368.3,1429.4,2392.2,546.7
1975,7316000,30215,500,1385,,16287,12043,346142,111288,195517,39337,413,6.8,18.9,,222.6,164.6,4731.3,1521.2,2672.5,537.7
1976,7336000,29107,380,1461,,14695,12571,367075,110346,219267,37462,396.8,5.2,19.9,,200.3,171.4,5003.7,1504.2,2988.9,510.7
1977,7329000,28732,408,1537,,13223,13564,346063,105229,203345,37489,392,5.6,21,,180.4,185.1,4721.8,1435.8,2774.5,511.5
1978,7327000,31027,398,1727,,14112,14790,350501,106700,202726,41075,423.5,5.4,23.6,,192.6,201.9,4783.7,1456.3,2766.8,560.6
1979,7332000,36747,484,2037,,18332,15894,390018,117421,221552,51045,501.2,6.6,27.8,,250,216.8,5319.4,1601.5,3021.7,696.2
1980,7342164,44373,504,2257,,22299,19313,425623,137900,234160,53563,604.4,6.9,30.7,,303.7,263,5797,1878.2,3189.3,729.5
1981,7401000,46674,542,2374,,24761,18997,410693,128274,231846,50573,630.6,7.3,32.1,,334.6,256.7,5549.2,1733.2,3132.6,683.3
1982,7438000,45175,482,2149,,22880,19664,377016,106418,223978,46620,607.4,6.5,28.9,,307.6,264.4,5068.8,1430.7,3011.3,626.8
1983,7468000,41304,399,2266,,20086,18553,344296,92391,206778,45127,553.1,5.3,30.3,,269,248.4,4610.3,1237.2,2768.9,604.3
1984,7515000,39659,402,2446,,18218,18593,325231,79871,202181,43179,527.7,5.3,32.5,,242.4,247.4,4327.8,1062.8,2690.4,574.6
1985,7562000,41172,407,2424,,19282,19059,344067,79923,213907,50237,544.5,5.4,32.1,,255,252,4549.9,1056.9,2828.7,664.3
1986,7620000,43623,399,2531,,20473,20220,355764,81595,215073,59096,572.5,5.2,33.2,,268.7,265.4,4668.8,1070.8,2822.5,775.5
1987,7672000,41507,351,2559,,17862,20735,362155,77392,219906,64857,541,4.6,33.4,,232.8,270.3,4720.5,1008.8,2866.3,845.4
1988,7720000,44993,411,2600,,18927,23055,363807,75675,219086,69046,582.8,5.3,33.7,,245.2,298.6,4712.5,980.2,2837.9,894.4
